time_s,gps_x,gps_y,est_x,est_y,heading_deg,cmd_robot
22.693,NaN,NaN,0.000,0.000,0.00,stop
22.743,NaN,NaN,0.000,0.000,0.00,stop
22.793,NaN,NaN,0.000,0.000,0.00,stop
22.843,NaN,NaN,0.000,0.000,0.00,stop
22.893,NaN,NaN,0.000,0.000,0.00,stop
22.943,NaN,NaN,0.000,0.000,0.00,stop
22.993,NaN,NaN,0.000,0.000,0.00,stop
23.043,NaN,NaN,0.000,0.000,0.00,stop
23.093,NaN,NaN,0.000,0.000,0.00,stop
23.143,NaN,NaN,0.000,0.000,0.00,stop
23.193,NaN,NaN,0.000,0.000,0.00,stop
23.243,NaN,NaN,0.000,0.000,0.00,stop
23.293,NaN,NaN,0.000,0.000,0.00,stop
23.343,NaN,NaN,0.000,0.000,0.00,stop
23.393,NaN,NaN,0.000,0.000,0.00,stop
23.443,NaN,NaN,0.000,0.000,0.00,stop
23.493,NaN,NaN,0.000,0.000,0.00,stop
23.543,NaN,NaN,0.000,0.000,0.00,stop
23.593,NaN,NaN,0.000,0.000,0.00,stop
23.643,NaN,NaN,0.000,0.000,0.00,stop
23.693,NaN,NaN,0.000,0.000,0.00,stop
23.743,NaN,NaN,0.000,0.000,0.00,stop
23.793,NaN,NaN,0.000,0.000,0.00,stop
23.843,NaN,NaN,0.000,0.000,0.00,stop
23.893,NaN,NaN,0.000,0.000,0.00,stop
23.943,NaN,NaN,0.000,0.000,0.00,stop
23.993,NaN,NaN,0.000,0.000,0.00,stop
24.043,NaN,NaN,0.000,0.000,0.00,stop
24.093,NaN,NaN,0.000,0.000,0.00,stop
24.143,NaN,NaN,0.000,0.000,0.00,stop
24.193,NaN,NaN,0.000,0.000,0.00,stop
24.243,NaN,NaN,0.000,0.000,0.00,stop
24.293,NaN,NaN,0.000,0.000,0.00,stop
24.343,NaN,NaN,0.000,0.000,0.00,stop
24.393,NaN,NaN,0.000,0.000,0.00,stop
24.443,NaN,NaN,0.000,0.000,0.00,stop
24.493,NaN,NaN,0.000,0.000,0.00,stop
24.543,NaN,NaN,0.000,0.000,0.00,stop
24.593,NaN,NaN,0.000,0.000,0.00,stop
24.643,NaN,NaN,0.000,0.000,0.00,stop
24.693,NaN,NaN,0.000,0.000,0.00,stop
24.743,NaN,NaN,0.000,0.000,0.00,stop
24.793,NaN,NaN,0.000,0.000,0.00,stop
24.843,NaN,NaN,0.000,0.000,0.00,stop
24.893,NaN,NaN,0.000,0.000,0.00,stop
24.943,NaN,NaN,0.000,0.000,0.00,stop
24.993,NaN,NaN,0.000,0.000,0.00,stop
25.043,NaN,NaN,0.000,0.000,0.00,stop
25.093,NaN,NaN,0.000,0.000,0.00,stop
25.143,NaN,NaN,0.000,0.000,0.00,stop
25.193,NaN,NaN,0.000,0.000,0.00,stop
25.243,NaN,NaN,0.000,0.000,0.00,stop
25.293,NaN,NaN,0.000,0.000,0.00,stop
25.343,NaN,NaN,0.000,0.000,0.00,stop
25.393,NaN,NaN,0.000,0.000,0.00,stop
25.443,NaN,NaN,0.000,0.000,0.00,stop
25.493,NaN,NaN,0.000,0.000,0.00,stop
